OPC-N2 FirmwareVer=OPC-018.1..............................BD
OPC-N2 176430713                                            
Config info:
GSC,1.000
LaserDAC,215
FanDAC,255
ToFtoSFRfactor,74
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Boundary(upper),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
ParticleVolume(um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
ParticleDensity(g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
SampleVolumeWeighting,4.500,3.000,2.000,0.500,0.300,0.250,0.250,0.250,0.350,0.450,0.500,0.800,1.000,1.000,1.000,1.000
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SFR(ml/s),SamplingPeriod(s),PM1(ug/m3),PM2.5,PM10
360,143,34,10,0,1,0,0,0,0,0,1,0,0,0,0,16,20,19,0,4.842,1.387,36.836,43.265,79.119
354,139,34,6,0,0,0,0,0,0,0,0,0,0,0,0,15,20,0,0,4.887,1.387,35.658,41.508,41.580
412,147,45,4,0,1,0,1,1,0,0,0,0,0,0,0,15,20,23,31,4.910,1.382,40.618,48.040,52.367
346,154,42,8,0,2,0,0,0,0,1,0,0,0,0,0,14,19,25,0,5.091,1.387,36.088,42.986,58.167
348,138,37,9,1,2,0,1,0,0,0,0,0,0,0,0,15,21,24,27,5.011,1.387,34.850,41.535,42.665
369,165,35,3,0,0,1,0,0,0,0,0,0,0,0,0,15,20,0,0,4.972,1.387,38.195,44.492,44.799
392,129,47,5,0,0,1,0,0,1,0,0,0,1,0,0,15,20,0,0,4.953,1.387,37.694,44.703,105.382
371,137,45,4,0,1,1,0,0,0,0,0,0,0,0,0,15,19,21,0,4.943,1.387,37.140,43.983,44.346
341,133,49,5,3,2,1,0,0,0,0,0,0,0,0,1,15,19,23,0,4.938,1.383,35.869,43.383,85.105
364,138,34,8,0,0,0,0,0,0,1,0,0,0,0,0,15,21,0,0,4.936,1.387,35.822,41.832,57.398
364,140,32,11,1,0,0,0,0,0,0,0,0,0,0,0,15,20,0,0,4.935,1.387,35.903,41.988,42.086
427,117,42,5,1,0,1,0,0,0,0,0,0,0,0,0,15,20,0,0,4.934,1.387,38.077,44.482,44.814
369,117,41,7,0,1,0,0,0,0,0,0,0,0,0,0,15,20,23,0,4.934,1.387,34.948,41.140,41.263
390,143,35,7,0,0,1,0,0,0,0,0,0,0,0,0,15,19,0,0,4.933,1.387,37.745,44.029,44.351
378,127,45,8,1,0,0,0,0,0,0,0,0,0,0,0,15,19,0,0,4.933,1.387,36.813,43.507,43.609
368,147,37,2,1,0,1,0,0,0,0,0,0,0,0,0,16,21,0,0,4.774,1.383,38.343,44.790,45.119
378,127,33,7,1,1,0,0,1,0,0,0,0,0,0,0,15,20,29,0,4.852,1.387,36.060,42.262,45.644
385,131,31,10,1,0,0,0,0,1,0,0,0,0,0,0,15,19,0,0,4.893,1.387,36.377,42.442,50.852
