Instrument Name,DustTrak II
Model Number,8530
Serial Number,8530152108
Firmware Version,3.5
Calibration Date,2017/05/03
Test Name,IAQ_INDOOR_013
Test Start Time,10:51:06
Test Start Date,2018/08/20
Test Length [D:H:M],2:22:8
Test Interval [M:S],2:0
Mass Average [mg/m3],0.047
Mass Minimum [mg/m3],0.019
Mass Maximum [mg/m3],0.427
Mass TWA [mg/m3],0.137
Photometric User Cal,0.38
Flow User Cal,0.00
Errors,
Number of Samples,2104

Elapsed Time [s],Mass [mg/m3],Alarms,Errors
103320,0.023,,
103440,0.023,,
103560,0.023,,
103680,0.023,,
103800,0.023,,
103920,0.023,,
104040,0.023,,
104160,0.023,,
104280,0.023,,
104400,0.023,,
104520,0.023,,
104640,0.023,,
104760,0.023,,
104880,0.023,,
105000,0.022,,
105120,0.023,,
105240,0.023,,
105360,0.023,,
105480,0.023,,
105600,0.023,,
105720,0.023,,
105840,0.022,,
105960,0.023,,
106080,0.023,,
106200,0.023,,
106320,0.022,,
106440,0.023,,
106560,0.023,,
106680,0.023,,
106800,0.023,,
106920,0.023,,
107040,0.023,,
107160,0.023,,
107280,0.023,,
107400,0.022,,
107520,0.022,,
107640,0.023,,
107760,0.023,,
107880,0.023,,
108000,0.022,,
108120,0.022,,
108240,0.022,,
108360,0.022,,
108480,0.022,,
108600,0.022,,
108720,0.022,,
108840,0.022,,
108960,0.022,,
109080,0.023,,
109200,0.023,,
109320,0.023,,
109440,0.023,,
109560,0.023,,
109680,0.023,,
109800,0.023,,
109920,0.023,,
110040,0.023,,
110160,0.023,,
110280,0.023,,
110400,0.023,,
110520,0.023,,
110640,0.023,,
110760,0.023,,
110880,0.023,,
111000,0.023,,
111120,0.023,,
111240,0.023,,
111360,0.023,,
111480,0.023,,
111600,0.023,,
111720,0.023,,
111840,0.023,,
111960,0.023,,
112080,0.023,,
112200,0.023,,
112320,0.022,,
112440,0.022,,
112560,0.022,,
112680,0.022,,
112800,0.022,,
112920,0.022,,
113040,0.022,,
113160,0.021,,
113280,0.022,,
113400,0.022,,
113520,0.022,,
113640,0.022,,
113760,0.022,,
113880,0.022,,
114000,0.022,,
114120,0.022,,
114240,0.022,,
114360,0.022,,
114480,0.022,,
114600,0.021,,
114720,0.021,,
114840,0.021,,
114960,0.021,,
115080,0.021,,
115200,0.021,,
115320,0.021,,
115440,0.021,,
115560,0.021,,
115680,0.022,,
115800,0.022,,
115920,0.022,,
116040,0.022,,
116160,0.022,,
116280,0.023,,
116400,0.023,,
116520,0.023,,
116640,0.023,,
116760,0.023,,
116880,0.023,,
117000,0.023,,
117120,0.023,,
117240,0.023,,
117360,0.023,,
117480,0.023,,
117600,0.022,,
117720,0.022,,
117840,0.022,,
117960,0.022,,
118080,0.023,,
118200,0.023,,
118320,0.023,,
118440,0.023,,
118560,0.023,,
118680,0.023,,
118800,0.023,,
118920,0.023,,
119040,0.023,,
119160,0.023,,
119280,0.023,,
119400,0.023,,
119520,0.023,,
119640,0.023,,
119760,0.023,,
119880,0.023,,
120000,0.023,,
120120,0.023,,
120240,0.023,,
120360,0.023,,
120480,0.023,,
120600,0.023,,
120720,0.023,,
120840,0.023,,
120960,0.023,,
121080,0.023,,
121200,0.023,,
121320,0.023,,
121440,0.023,,
121560,0.024,,
121680,0.024,,
121800,0.024,,
121920,0.024,,
122040,0.024,,
122160,0.024,,
122280,0.024,,
122400,0.024,,
122520,0.024,,
122640,0.024,,
122760,0.024,,
122880,0.024,,
123000,0.024,,
123120,0.024,,
123240,0.024,,
123360,0.024,,
123480,0.025,,
123600,0.024,,
123720,0.024,,
123840,0.024,,
123960,0.024,,
124080,0.024,,
124200,0.024,,
124320,0.024,,
124440,0.024,,
124560,0.024,,
124680,0.024,,
124800,0.024,,
124920,0.024,,
125040,0.024,,
125160,0.024,,
125280,0.024,,
125400,0.024,,
125520,0.024,,
125640,0.024,,
125760,0.024,,
125880,0.025,,
126000,0.025,,
126120,0.025,,
126240,0.025,,
126360,0.025,,
126480,0.024,,
126600,0.024,,
126720,0.024,,
126840,0.024,,
126960,0.024,,
127080,0.024,,
127200,0.024,,
127320,0.024,,
127440,0.024,,
127560,0.024,,
127680,0.024,,
127800,0.024,,
127920,0.024,,
128040,0.024,,
128160,0.024,,
128280,0.024,,
128400,0.024,,
128520,0.024,,
128640,0.024,,
128760,0.024,,
128880,0.024,,
129000,0.024,,
129120,0.024,,
129240,0.023,,
129360,0.023,,
129480,0.023,,
129600,0.024,,
129720,0.024,,
129840,0.024,,
129960,0.024,,
130080,0.023,,
130200,0.023,,
130320,0.023,,
130440,0.024,,
130560,0.023,,
130680,0.023,,
130800,0.023,,
130920,0.024,,
131040,0.024,,
131160,0.024,,
131280,0.024,,
131400,0.023,,
131520,0.023,,
131640,0.023,,
131760,0.023,,
131880,0.024,,
132000,0.024,,
132120,0.024,,
132240,0.023,,
132360,0.024,,
132480,0.024,,
132600,0.024,,
132720,0.024,,
132840,0.024,,
132960,0.024,,
133080,0.024,,
133200,0.024,,
133320,0.024,,
133440,0.024,,
133560,0.024,,
133680,0.024,,
133800,0.024,,
133920,0.024,,
134040,0.024,,
134160,0.023,,
134280,0.023,,
134400,0.023,,
134520,0.023,,
134640,0.023,,
134760,0.023,,
134880,0.023,,
135000,0.023,,
135120,0.022,,
135240,0.022,,
135360,0.022,,
135480,0.022,,
135600,0.022,,
135720,0.022,,
135840,0.022,,
135960,0.022,,
136080,0.022,,
136200,0.022,,
136320,0.022,,
136440,0.022,,
136560,0.022,,
136680,0.022,,
136800,0.022,,
136920,0.022,,
137040,0.022,,
137160,0.022,,
137280,0.021,,
137400,0.021,,
137520,0.022,,
137640,0.022,,
137760,0.021,,
137880,0.020,,
138000,0.019,,
138120,0.019,,
138240,0.020,,
138360,0.020,,
138480,0.021,,
138600,0.021,,
138720,0.021,,
138840,0.021,,
138960,0.021,,
139080,0.021,,
139200,0.022,,
139320,0.021,,
139440,0.020,,
139560,0.020,,
139680,0.020,,
139800,0.020,,
139920,0.020,,
140040,0.020,,
140160,0.020,,
140280,0.020,,
140400,0.021,,
140520,0.021,,
140640,0.021,,
140760,0.021,,
140880,0.021,,
141000,0.020,,
141120,0.020,,
141240,0.020,,
141360,0.020,,
141480,0.020,,
141600,0.020,,
141720,0.020,,
141840,0.020,,
141960,0.020,,
142080,0.020,,
142200,0.019,,
142320,0.019,,
142440,0.019,,
142560,0.019,,
142680,0.020,,
142800,0.020,,
142920,0.019,,
143040,0.019,,
143160,0.019,,
143280,0.019,,
143400,0.019,,
143520,0.019,,
143640,0.019,,
143760,0.019,,
143880,0.019,,
144000,0.019,,
144120,0.019,,
144240,0.019,,
144360,0.019,,
144480,0.019,,
144600,0.019,,
144720,0.019,,
144840,0.019,,
144960,0.019,,
145080,0.019,,
145200,0.020,,
145320,0.020,,
145440,0.020,,
145560,0.019,,
145680,0.019,,
145800,0.019,,
145920,0.019,,
146040,0.019,,
146160,0.019,,
146280,0.019,,
146400,0.019,,
146520,0.019,,
146640,0.020,,
146760,0.020,,
146880,0.020,,
147000,0.020,,
147120,0.020,,
147240,0.020,,
147360,0.019,,
147480,0.019,,
147600,0.019,,
147720,0.019,,
147840,0.019,,
147960,0.019,,
148080,0.019,,
148200,0.020,,
148320,0.019,,
148440,0.020,,
148560,0.019,,
148680,0.019,,
148800,0.019,,
148920,0.019,,
149040,0.019,,
149160,0.019,,
149280,0.019,,
149400,0.019,,
149520,0.019,,
149640,0.019,,
149760,0.019,,
149880,0.019,,
150000,0.019,,
150120,0.019,,
150240,0.019,,
150360,0.019,,
150480,0.019,,
150600,0.019,,
150720,0.019,,
150840,0.019,,
150960,0.019,,
151080,0.019,,
151200,0.019,,
151320,0.019,,
151440,0.019,,
151560,0.019,,
151680,0.019,,
151800,0.019,,
151920,0.019,,
152040,0.019,,
152160,0.019,,
152280,0.019,,
152400,0.019,,
152520,0.020,,
152640,0.020,,
152760,0.020,,
152880,0.020,,
153000,0.020,,
153120,0.020,,
153240,0.021,,
153360,0.021,,
153480,0.021,,
153600,0.021,,
153720,0.020,,
153840,0.020,,
153960,0.020,,
154080,0.020,,
154200,0.020,,
154320,0.020,,
154440,0.020,,
154560,0.020,,
154680,0.020,,
154800,0.020,,
154920,0.020,,
155040,0.021,,
155160,0.022,,
155280,0.022,,
155400,0.022,,
155520,0.022,,
155640,0.022,,
155760,0.023,,
155880,0.023,,
156000,0.022,,
156120,0.021,,
156240,0.020,,
156360,0.020,,
156480,0.020,,
156600,0.020,,
156720,0.020,,
156840,0.020,,
156960,0.020,,
157080,0.020,,
157200,0.020,,
157320,0.020,,
157440,0.021,,
157560,0.021,,
157680,0.021,,
157800,0.022,,
157920,0.022,,
158040,0.022,,
158160,0.022,,
158280,0.022,,
158400,0.022,,
158520,0.021,,
158640,0.022,,
158760,0.023,,
158880,0.022,,
159000,0.022,,
159120,0.022,,
159240,0.022,,
159360,0.021,,
159480,0.022,,
159600,0.022,,
159720,0.022,,
159840,0.022,,
159960,0.021,,
160080,0.021,,
160200,0.021,,
160320,0.021,,
160440,0.020,,
160560,0.021,,
160680,0.021,,
160800,0.020,,
160920,0.020,,
161040,0.020,,
161160,0.020,,
161280,0.020,,
161400,0.021,,
161520,0.021,,
161640,0.021,,
161760,0.021,,
161880,0.021,,
162000,0.021,,
162120,0.021,,
162240,0.021,,
162360,0.022,,
162480,0.021,,
162600,0.021,,
162720,0.021,,
162840,0.021,,
162960,0.021,,
163080,0.021,,
163200,0.021,,
163320,0.021,,
163440,0.021,,
163560,0.021,,
163680,0.022,,
163800,0.021,,
163920,0.021,,
164040,0.021,,
164160,0.021,,
164280,0.021,,
164400,0.021,,
164520,0.021,,
164640,0.021,,
164760,0.021,,
164880,0.021,,
165000,0.021,,
